83	-1
47	0
84	0
11	-1
134	-1
153	1
13	1
43	1
30	1
24	1
4	1
55	-1
61	-1
51	2
42	2
41	2
154	2
44	2
155	-1
21	3
1	3
9	3
50	3
56	3
49	3
76	3
57	-1
63	-1
16	4
52	4
20	4
152	4
48	4
86	4
14	4
27	4
7	4
12	4
54	4
26	4
6	4
60	4
28	4
8	4
156	4
71	4
46	4
58	5
87	5
64	5
45	5
25	5
5	5
88	5
85	6
68	6
10	6
62	6
72	7
23	7
3	7
78	7
73	7
22	8
2	8
106	8
77	8
66	8
108	8
17	9
151	9
69	9
138	9
105	9
104	9
109	10
157	10
53	10
59	10
65	10
15	10
107	10
148	10
149	10
159	10
136	10
135	10
79	-1
101	11
32	11
163	11
144	11
103	11
34	11
165	11
89	11
100	11
31	11
162	11
158	11
80	11
160	11
102	12
164	12
33	12
75	12
74	12
150	12
81	12
137	12
140	13
141	13
161	14
143	14
96	14
82	-1
147	15
139	15
40	15
142	15
29	16
110	16
98	17
91	17
90	17
145	17
67	17
70	17
36	17
93	17
99	17
97	17
146	17
37	17
94	17
166	17
39	17
38	17
92	17
95	17
118	17
111	17
119	17
120	17
121	17
122	17
124	17
114	17
113	17
112	17
116	17
130	17
127	17
128	17
129	17
125	17
117	17
133	17
132	17
126	17
19	17
123	17
115	17
131	17
18	17
35	17
